id,credit_score,ssn,n_loans,active,balance,high_credit,last_activity,n_months,overdue,30 DAYS LATE,60 DAYS LATE OR MORE,ON TIME,n_on_time,n_30_late,n_60_late
44890d77-94da-49a5-8eef-0bdcf7f65979,373,834-53-4673,6,2,30213,75924,2003.0,104,353,0.09069444444444445,0.053657407407407404,0.855648148148148,88.0,11.0,5.0
9169f2ac-fe14-42bd-8241-d241f1feef21,1171,415-47-4090,15,5,23936,112449,1998.0,362,0,0.04493108795765342,0.06768633997874572,0.8873825720636008,324.0,15.0,23.0
406c1f50-b4a2-408c-867c-999eab97cfb7,1743,307-48-7978,18,8,76732,220977,2000.0,397,0,0.03910337647179753,0.041706751567432684,0.9191898719607698,362.0,18.0,17.0
fbbfd912-cd67-4f18-b961-fad31c6261da,747,799-50-7587,7,4,13728,54461,2003.0,113,0,0.07952380952380954,0.013605442176870748,0.9068707482993198,106.0,5.0,2.0
e7e43cfc-4909-4248-a03b-153a9aa1e6ea,1543,255-16-4268,16,6,27291,147499,1998.0,300,0,0.044309155052122386,0.04996378192101876,0.9057270630268588,274.0,14.0,12.0
e727a82c-2b27-4a1f-b960-e2d44de14c1d,1202,646-90-8894,11,6,41916,106969,2001.0,212,0,0.03671328671328671,0.07758638667729577,0.8857003266094174,188.0,10.0,14.0
db9865a5-48e7-4e5c-8dc5-d451bc760bac,711,416-83-9126,12,3,30892,105108,2000.0,265,254,0.04052482103952692,0.06421860410830998,0.895256574852163,238.0,10.0,17.0
8587d49c-dce3-4b26-86fc-7fbe5b495cf4,1696,736-34-6452,16,8,36165,188691,2003.0,413,0,0.033221162338809396,0.0607691256864051,0.9060097119747856,378.0,13.0,22.0
73f1693c-c14c-48c8-912e-69c494114883,632,218-87-9362,10,8,69617,106674,2007.0,229,1633,0.0825244448533922,0.08419545659019342,0.8332800985564143,189.0,21.0,19.0
d79aeb40-dc63-41c0-b0bf-4a85f63fba98,481,348-23-8679,4,2,26254,61462,2010.0,70,200,0.033072546230440966,0.07072368421052631,0.8962037695590327,63.0,3.0,4.0
e2eee6d2-e0b7-4a49-b1ad-a82c04203af3,721,431-60-4676,14,10,54640,159299,2007.0,334,1826,0.07225621017637825,0.03992584213172449,0.8878179476918974,293.0,28.0,13.0
e7fce030-7408-4ab3-9ca2-94231810593c,1253,242-83-9230,19,9,37885,187959,2001.0,416,0,0.04288906635044156,0.05159214055694827,0.9055187930926101,375.0,18.0,23.0
38745693-75df-4105-8135-738ca3693067,996,339-29-0275,13,4,36465,121261,1997.0,260,0,0.05785816747355209,0.03886048701118542,0.9032813455152624,234.0,15.0,11.0
e93c3602-2c48-4613-8483-7b3ee0a31af2,495,165-04-2594,12,5,48831,110447,2001.0,247,819,0.058077905491698605,0.07158308246670315,0.8703390120415984,212.0,18.0,17.0
42c4290d-b61a-4acc-a443-fd3929228d09,662,186-20-7087,6,3,12309,59797,2002.0,114,0,0.05618572292800967,0.0,0.9438142770719903,109.0,5.0,0.0
5fe1ab09-09a6-4f8d-87ff-407314877d4e,1063,474-53-2670,13,3,15423,128956,2001.0,239,0,0.03085351782720204,0.04586417481154323,0.9232823073612548,220.0,10.0,9.0
feb063c7-15b1-4bf7-bc66-339ed31a1592,633,171-58-6835,6,2,21183,51714,2002.0,127,0,0.024269005847953218,0.01367389060887513,0.9620571035431716,122.0,3.0,2.0
cb115dad-4017-487d-a2cc-34a5621faf7a,1409,002-36-6758,19,9,44963,167393,1998.0,426,9,0.05434546155006562,0.05194777059628048,0.893706767853654,380.0,24.0,22.0
dd130ffe-ab39-4f90-88d3-888b903107af,621,441-49-6272,4,2,24924,44465,2006.0,109,0,0.05862470862470862,0.09358141858141858,0.8477938727938729,92.0,8.0,9.0
97e7ec9c-c2b8-4739-9f7e-02dfa5625028,872,307-27-1938,11,9,37426,109122,2001.0,266,715,0.06246655400891257,0.06664345818581675,0.8708899878052706,227.0,20.0,19.0
6fc3f53c-e706-4303-bd3e-9f559058b5cb,781,736-02-7453,8,3,23141,98205,2001.0,189,0,0.04606505725457338,0.0265295524368105,0.9274053903086162,175.0,8.0,6.0
c74ae357-1ddd-4896-9ca9-5782178738ed,1013,724-41-0974,13,6,49175,143854,1998.0,315,7,0.03201049995404834,0.028609049332733543,0.9393804507132182,294.0,12.0,9.0
